,title,artists,album,release_date,duration,spotifyID,popularity,isExplicit,acousticness,danceability,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence,lyrics
198,Whoop Your Ass,2Pac,Americaz Most Wanted,2019-08-19,180612,4UnNoR0lOKWvlDvf3J8Tuv,36,False,0.0389,0.866,0.568,0.0,2,0.258,-4.865,1,0.256,96.456,4,0.7390000000000001,
199,Gon Pay Me,2Pac,Americaz Most Wanted,2019-08-19,208520,1LwFJxR0GnO0mit8YBWkzF,31,False,0.153,0.428,0.741,0.0,4,0.8290000000000001,-9.18,0,0.519,85.891,4,0.48,"My partner gave me $50, put me in the game
I been slangin weed then I moved up to cane
Pushin them bouldas, slangin them quarters
I got em 2 for 3, god dammit, now I'm a balla!
Pushin mad weight, from state to state
Niggas ridin dirty, on my mobile phone, it's U.G.K
Pimp C said, ""P, what's really goin on?""
I said what's really happenin, he said, ""I gotta pocket full of stones!""
Now P be dat new kid on the block
36 O-Z's choppin up rocks in my rock spot
And label me a drug deala, just anotha hard nigga
Rest in peace to 2Pac, and the rest of ya'll thug niggas
Playaz hookin up, tryin to make bucks
Sendin work from FedEx to UPS trucks
Now P livin lavish, caviar and cabbage
Peppers and beans, and grits and cabbage
Down South hustlin, ballin, slangin
Niggas teamin up, some niggas gangbangin
Used to drink 40s, now it's Moet
Used to roll cutlass, now it's benzes and vets
?Becketts? on my fingaz, Rolex watches
Hoes on the block, bounce that azz, I mean pussy poppin
Label me an alien, just like Outkast
Cause I made my money from the ghetto and I did it fast
Cause I'm bout it, ya'll know I'm rowdy
Ask Big Mo and John Henry if ya'll doubt it
Hooked up with 8-ball and MJG
Cause we tryin to get a meal ticket from these streets

(Hook)
Tryin to get a meal ticket (8X)

8-ball and MJG, southside representin, a nigga came to mention
These hoes can't touch my pimpin
Mobbin through the swamp, P and me and G and U.G.K
?Hustlin? as a muthafucka, fuck what these hoes say!

Cause we each be lookin for meal tickets, witches, drivin me crazy
Lady, can I claim yo baby, honey call me the ?shady?, maybe
Construct the thinkin, we're turnin' to duckies bankin'
No laws somebody save me a slice of meat up in my grave

Captain Save Em, pay em, before you get to lay em
Got a real nigga's job, so damn hard tryin to play em
Weigh em, no weigh me, cause that's what they gon pay me
Pimpin ain't their baby, just ask MJG

Who be I? MJG, he be me!
But if I was he, and you was I, who would you see?
Where is justice when ya hungry, or do it only
Pertainin bustas, fakes, and phonies
About that money, where my ticket?
Hook (8X)

Cocaine lady, white lady sellin good
I'm leanin' on the leather, and I'm grippin on the wood
I'm peeling on the Grant, ballin in the slant
Back, I'm Pimp C, bitch and trill niggas roll Cadillac
Bad ass bitches can't leave my dick alone
I done bought me a key and changed my name to James Jones
Pimpin ain't dead, ya heard what I said
How the fuck is pimpin dead when bitches still givin me head?
Lickin my ass and butt be the deala

Suck the nut up out a ??? bucket slow down suave nigga
Now bitch I be the prince of pushin' everything up out of Port Arthur, the king of them quarters
Fuckin with nothin but queens and they daughters
Get cleansed, weeded, and watered, I flow like a Asian, Malaysian
Saudi Arabian, African I be blazin'
In the Golden Gate, swish it out, holdin weight, I hits the block, I'm
Rollin bait, Them fiends come out, they know they got to ?stole the case?
I motivate, fiends, dealas, ballas, hatas, shops and boppas
Jekll and Hyde, Bonnie and Clyde, and niggas that ride with Glocks and choppas
Where we out?
Hook and fade"
200,How Do You Want It,2Pac,Americaz Most Wanted,2019-08-19,289013,44YDagvnTCXueEDzNBGzWW,35,False,0.0978,0.831,0.779,4.64e-06,8,0.0587,-2.867,1,0.0931,92.473,4,0.807,
201,Puppy Love,2Pac,Americaz Most Wanted,2019-08-19,267626,0x8TgkqP8APucZYMW40QlU,30,False,0.0035,0.636,0.5660000000000001,1.89e-06,6,0.0662,-9.202,1,0.303,104.505,4,0.775,"Yeah yeah, yeah, yeah
Yeah, QRN

13, I was thuggin' hard, by 14, off the porch
15, I was totin' pistols, by 16, up the road
17, I was writin' raps, goin' hard on every hook
By 18 I was in the county, no money on my books
Had to realize niggas say they ride but not to the very end
Just to get my circle tight I had to cut off all my friends
I told Shad fuck a bank account 'cause my shoebox, it got a few knots
I live the thug life, no 2Pac, nigga try me, he get two shots
If he a fuck nigga, I swear he get a few shots
My neck and wrist so cold, I swear I need a flu shot
Boilin' water, they like Quando Rondo too hot
Why you tryna be something you know you not?
I counted up ten racks just this morning
Ridin' 'round in a Maybach, in a foreign
I remember way back you was ignoring
I'm preachin' like a pastor and y'all actors
I get so high I pass the lord, and my team fly, no passport
Anything lil shawty want, all she gotta do is ask for it
And that pistol on me, I ain't never lackin'
Nigga run up on me, swear to God I'm blastin'
'Bout to kill the game, it's closed casket, yeah yeah yeah

Fifty thousand ain't nothin' to me 'cause I can do that shit in my sleep, yeah
13, I was playin' ball, I was runnin' hard in my cleats, yeah
14, you couldn't tell me nothin' 'cause I got my first piece of meat, yeah
Pussy did something to me, ever since then I been a lil freak, yeah
Free Major Brans, at 15 I was hangin' with ABG
I was young as hell and I ain't know no better, so I started smokin' that weed
By 16 I was skippin' class, I was bein' bad just because
I got a girlfriend and she broke my heart but it was puppy love
By 17 I started gettin' it and I started movin' a lil different
But I did not know one day that I was gon' get some millions
And by 18 I got a lil impatient, I barely had graduated
19, I had caught my first charge and I was facing, so much time
By 20, I started reading books to expand my mind
At 21, I had start prayin' 'cause God don't answer cries
By 24, I had saved enough for a condo
25, I was in LA like I'm Lonzo, Quando Rondo"
202,Seen Too Much,2Pac,Americaz Most Wanted,2019-08-19,138040,50NQlczQ5PezCgMk5BtfuW,30,False,0.413,0.7020000000000001,0.802,0.0,3,0.63,-10.794,0,0.19899999999999998,87.53,4,0.7190000000000001,
203,Ride or Die,2Pac,Americaz Most Wanted,2019-08-19,240013,2KsCWjSiMmyZjQw2JqznWP,33,False,0.113,0.5479999999999999,0.59,0.000722,4,0.22899999999999998,-9.301,0,0.475,87.84100000000002,4,0.267,"Chorus
We better 
Tell me what youre gonna do
If we ride or die?
(repeats)
. take one step out of time
. were gonna party all night
. by my side
I love you how youre loving me
Were gonna make steps one two three four
You will be on my mind all the time
Ride or die
Is what I adore
If I got you
And you got me
I promise were gonna be the ones
The ones
 no fun
Were gonna run
Run run run
Were gonna run
Run run run
Chorus"
204,I Got Dat Fire,2Pac,Americaz Most Wanted,2019-08-19,287426,2ii5MWiGEbwlJqXwAycM74,31,False,0.0253,0.816,0.424,0.0,2,0.0832,-9.676,1,0.382,156.388,4,0.426,
205,Dance,2Pac,Americaz Most Wanted,2019-08-19,188493,6KD9BuWTxp0V84PrfBcIuQ,29,False,0.223,0.515,0.792,0.0,1,0.531,-9.381,1,0.35200000000000004,95.43,4,0.5660000000000001,"And now, For the first time ever, ever televised or put out on CD or tape, it's the first annual Digital Underground Hoedown Awards!
The Humpty Dance Awards, y'all
With the dancers from the Digital Underground, 2Pac Shakur
Baby, you tell 'em what's up
Hey, baby
And now to bring this year's nominees are:  the founder of Humpy Dance Awards himself, Edward Ellington 'Humpty Hump' Humphrey and the original rebel of the underground, big screen movie and rap star, 2Pac Shakur

Oh, yeah, what's up, y'all?
How you doin'?
We got 'em screamin, yo
It's you, boy
 humpty funk
It must be my nose

Now, for the, alright
Yo, i just wanted to say regardless of who wins, thanks to all the nominees who got involved, really made us proud, and i hope y'all stay down with the Funkarillahiphopahellapsychedelicrelic throughitcallitdopeadelical, better known as the D-FLO Humpty Funk
The nominees, get to the nominees
You read it
Following groups representing the nominees for all categories
And the nominees are:
(You got to live and...)
(I'm gonna knock you out)
(Not your money, not your money, 357, give me the cup and the...)
(Is it good to you? is it good to you?)
(?)
(Yo, Marky Mark and the Funky Bunch, we comin' back)
(?)
(And let me take you on a walk through hell...)
(And i'm lost in a storm...)
(Buck tha devil, buck tha devil, buck tha devil...)
(?)
(But i don't party and shake my butt)
(?)
(Here we go)"
206,Fatha Figga,2Pac,Americaz Most Wanted,2019-08-19,301000,0BGc1RTIkUut98FWrdgpmA,31,False,0.389,0.732,0.5720000000000001,0.0,1,0.125,-7.426,1,0.295,96.90899999999999,4,0.816,"The Bay Area, yeah boy that's where I'm from
I remember '85, that's when the crack would come
A lot of niggas got rich, but most these niggas got stung
With years under they built, tryna feel what it felt
To be the nig, watch the ice that don't melt;
'86 through '88 the game got bigger, we done hit the block
Swatting baby ninjas on our way to school
Park my shit around the corner so fly so cool
Young niggas, Brooklyn breed emcees, the Bay breed drug dealers
You got a youngster that flows, I got a young nigga
That push coke plus he got hoes, stay on the road
He can't understand life but grab the mic and make the track explode...

And you know I'm from the Bay
Mothafuckin A-R-E-A
Yahmean
No other place I'd rather be...
And you know I tried to flee
To another mothafuckin scene
Yahmean
It wasn't thug enough for me...

On my way to the port to drop my nigga Cormega
On Too $hort birthday plus all the Figaz together
The boys put us on the weight to hustle out up in the weather
Yup, '85 turned out, hit the corner here
Then hit me on my burn-out, when you niggas gon learn bout
The mothafuckin bay, it's superthug where I stay
From Frisco, North Richmond to O-A-K
Central, South Richmond and EPA
Pittsburg got the coke for a price you must pay
Yeah boy, believe what they say
Ain't nothing scarier than the Bay, high-speeds every day
Adolescents tuck weapons, niggas bleed every day
You got to have heart just to visit where I stay
And I been everywhere, ain't nothing thugger than me
Yo, we live the shit that you see on TV
Word...
(hook)

Fuck 'em, one time, like hitters on the payroll
Hits on the streets, the radio don't never play so
Don't nobody know who the real niggas is
I dedicate this rap to the mothafuckin Figz
3X Krazy Askari-X, The Click
Messcalene, JT The Bigga Figga
Tha Gamblaz, them my niggas, The Young D Boyz
Mac Mall, Neva Legal, Sick Insane, Lil Ric
Mr. Brave, The Hoodfellaz, Sincydal
San Quinn, Mac Dre, Willie Hen, Too $hort
Fatha Dom, Lil Bruce, Mac Shawn, RBL
11/5, Guce, Sandman and P-O-D-E
Can't forget G-O-V, and Seagram rest in peace
And Rappin' Ron rest in peace too, I got my ear
To the streets too, this for the Yay, and they never could
Defeat you; The Ghetto Starz, Big Block and Richie Rich
2Pac and 5150 was the shit
So was Digital Underground and Souls of Mischief, Spice-1
Poohman, Dangerous Dame, and Young Cellski
C-Bo, Yukmouth and Nutty-B, you out-of-towners
Study me, want me to show you how you should be
You niggas thugs now but we been that
And I'm the proof cause now it's back where it begin at...
(Hook)"
207,Yay Got That Fire,2Pac,Americaz Most Wanted,2019-08-19,158480,2MzWfosVq48T0rTqKd6e0n,30,False,0.154,0.5760000000000001,0.524,0.0,0,0.195,-10.102,1,0.498,81.227,4,0.349,"Breathe it in, breathe it out
Breathe it in, breathe it out
Breathe it in, breathe it out
Breathe it in, breathe it out

We smoke good good, you smoke sour
You got lights out, well we got power
Ask your girlfriend, she knows how I
Blew about a zip in my Eddie Bauer
I like fist fights, you need two Glocks
You rock bullshit, while we knock 2Pac
This that high five, yep that fire
Big Snoop Dogg, yeah and I'm gon' die high
Itchy ga ga, you got bush
We got Obama, and we blow kush
AK-47, not that train wreck
We blow bubble kush, while you smoke bullshit
Ask my nephews, up in the yay yay
If it ain't the Cali then it must the hay hay
This your highlight, so get your shit right
And this that real talk, so get that shit right


Your kids and your mama, they say that they love me
Cause I am the big dog, and you just a puppy
I got big game, you got nada
You like white girls, so you sniff powder
Weigh that bag light, and play that flash light
This your last night, now get my cash right
I am King Kong, you just a baby cub
I got long dong, and you got baby nuts
Smoke with Snoop Dogg, I don't think so
You got outdoor, I like indo
I am legendary, you are temporary
You smoke stress for less, we smoke blueberry
You got the woo wop sack, so don't start that
Why you pop that, young nigga you ain't got that
If you need that, turn on your headlights
Cause I got that shit to get your head right
Now, smell the smiso, I got diesel
Spread the weed smur', I'm high as a beezurd'
Relax and kick back as D.O.D. did
Now hit that, lit that, and bring that shit back


She likes Lebron, he likes Kobe
Well I like Baron Davis, cause that's my homie
L.A. unified, add that up low
Not what you smoke, cause you smoke bunk dope
How many T signs, must I relate back
If you ain't got kush, then please don't say that
We get down here, your weed got brown hair
And that's the kind of weed that we don't smoke round here
See, you smoke red hair, we smoke that there
You got whack shit, and we got cat piss
We like swisher sweets, you like back woods
Your weed got seeds, and you think that's good?
Boy you so lost, I am so boss
I got Q.P.'s, to me that's no cost
D.O. double G, L.B.Cizzne'
I guess this will be the death of me
And if it do so, then let my lungs lay
Cause I'm in heaven blowing seven's of O.G"
208,California Love,2Pac,2Gangsta 2Die,2019-08-01,347973,2IZXmqkq0BV89vnuchNe8s,46,False,0.033,0.6559999999999999,0.882,0.0,0,0.67,-3.011,1,0.0941,91.661,4,0.782,"California love
California knows how to party
California knows how to party
In the city of L.A
In the city of good ol' Watts
In the city, the city of Compton
We keep it rockin', we keep it rockin'

Now let me welcome everybody to the Wild Wild West
A state that's untouchable like Eliot Ness
The track hits your eardrum like a slug to your chest
Pack a vest for your Jimmy in the city of sex
We in that sunshine state where the bomb-ass hemp be
The state where you never find a dance floor empty
And pimps be on a mission for them greens
Lean mean money-making-machines servin' fiends
I been in the game for 10 years makin' rap tunes
Ever since honeys was wearin' Sassoon
Now it's '95 and they clock me and watch me
Diamonds shinin', lookin' like I robbed Liberace
It's all good, from Diego to the Bay
Your city is the bomb if your city makin' pay
Throw up a finger if you feel the same way
Dre puttin' it down for Californ-i-a

California knows how to party
California knows how to party (Yes, they do)
In the city of L.A
In the city of good ol' Watts
In the city, the city of Compton
We keep it rockin', we keep it rockin'

Shake, shake it, baby
Shake, shake it, mama
Shake it, Cali
Shake it, shake it, baby
Shake it, shake it, shake it, shake it

Out on bail, fresh out of jail, California dreamin'
Soon as I step on the scene, I'm hearin' hoochies screamin'
Fiendin' for money and alcohol, the life of a Westside player
Where cowards die and the strong ball
Only in Cali where we riot, not rally, to live and die
In L.A. we wearin' Chucks, not Ballys (yeah, that's right)
Dressed in Locs and Khaki suits, and ride is what we do
Flossin' but have caution: we collide with other crews
Famous because we throw grams
Worldwide, let them recognize from Long Beach to Rosecrans
Bumpin' and grindin' like a slow jam
It's Westside, so you know the Row won't bow down to no man
Say what you say, but give me that bomb beat from Dre
Let me serenade the streets of L.A
From Oakland to Sac-town, the Bay Area and back down
Cali is where they put their mack down; give me love!

California knows how to party
California knows how to party (Yes, they do)
In the city of L.A
In the city of good ol' Watts
In the city, the city of Compton
We keep it rockin', we keep it rockin'

South Central
Uh, that's right
Now make it shake

Shake, shake it, baby
Shake, shake it, mama
Shake it, Cali
Shake it, shake it, baby
Shake it, shake it, shake it, shake it

Shake it, Cali
Uh, uh, West Coast
Uh, yeah, uh, uh, Long Beach in the house
Uh, yeah, Oaktown
Oakland definitely in the house
Frisco, Frisco

And you know L.A. up in here
Pasadena, where you at?
Yeah, Inglewood
Inglewood always up to no good
Even Hollywood tryin' to get a piece, baby
Sacramento, Sacramento where you at?
Throw it up, y'all! Throw it up, throw it up!
I can't see ya
Let's show these fools how we do it over on this Westside
'Cause you and I know it's the best side
Yeah, that's right
West Coast, West Coast"
209,Slippin' Into Darkness,2Pac,2Gangsta 2Die,2019-08-01,241026,2gblYfKJmHA0Wc7K78TWHH,27,False,0.048,0.81,0.642,0.0,8,0.264,-8.647,1,0.244,90.956,4,0.6940000000000001,"Yeah! ha ha yeah.... thats right!
The F.A's comin striaght from the wild wild west
Look at baby girl born in 19-7-deuce
Pop's on his fix, Mom's stuck on that crazy juice
Went to school, It's all cool but in Junior Hiiigh
Little hooker in the bathroom getting hiiigh
What she doing and what she smoking, nobody knows
Is she addicted or just slipping into melbose
A bad ass broad running with the girl gang
Just got some tat's,Talking all that girl slang
First one to slap, because La vida dont matter
Wip out a cuete watch your brains get splattered
Selling them doves, hanging with thugs and all that
Beating up fools with a baseball bat
Started having sex at only 14
Imagine O.G. wears his clothes all crisp and clean
Got pregnant had a baby in December
She won't see the daddy till next September
Mom's and Pop's gave her the boot
Kicked her out La Casa, Now what Raza
With the money she got, She bought a spot of the block
Started paying the rent by slangin' phat ass coca rocks
Now shes 23 her four kids all alone, and loc'ed out
And plus shes all smoked out,the base face
You could see it in her eyes, it could also tell the tears
Of a life long cries
They was headed for self destruction
Conjunction Junction,(hey Yo!) Whats your Function?
Her own kids gotta healp, 'cause they knew she was slippin'
Took the devil away homegiiirl, You was Slippin'
CHORUS:
Slipping into Darkness
When you slip you trip and fall
Slipping into Darkness
Ain't no sense to give ya'll no love at all
They say we're slipping, as a whole one race
So, what we gonna choose, Don't want the blues
I turn to the news and what do I see
(merciless)""Everybody in the world ready to D. I. E.""
We got blacks against blacks, browns against browns
Whites against whites,from governments to undergrounds
So, Peep the sound as it bumps through your stereo
Ear to your brain now check out the scenerio
Cali got quakes, Mudslides, and Floods
Pesadillas(nightmares)Crips and Bloods
Hustlas, Pimps, Shot Callers, and Killas
O.G. , Macks, and the big Coca Dealers
We got homeboys who just like kicking it
And Vato's like me who grab the mic and start splitting it
(merciless) ""You're in for a phat treat trip into a phat beat""
So get closer to the funk and slip into the backseat
CHORUS X2
They wanna band me cause a brothas makin noise a lot
Ill shoot they ass in a sec wit a poisin dart
They got me runnin down the street gettin hotter
Runnin from the cops as i try to clock my Glock
The war won't stop
Thats why they wanna band the music
You ever notcie how the cops can't stand the music
See a black man coolin wit a mexican
We can all have peace, the sun sets again
They try to shove us in the pen
But we clown and we frown every time we hit the top ten
Once again, its your friend outta oakland,hopin
To keep the hip hop clubs open
Now we can lay back and let them close'm
Or we can have beef and show that we control'em
Now ain't nobody gettin paid, its a damn shame
Why gang bang brothas in the same gang?
They say securitys to blame, cause they lettin it off
Brothas come to have fun but they settin it off
One time, make it worse when they sweat us
Send an army of pigs to come get us
Now im runnin outta time and im cool down with the aztecs
This is sorta like soul food"
210,Ride or Die,2Pac,2Gangsta 2Die,2019-08-01,240013,7y2NRO2fuYlvarrZWYPgkm,30,False,0.113,0.5479999999999999,0.59,0.000722,4,0.22899999999999998,-9.301,0,0.475,87.84100000000002,4,0.267,"Chorus
We better 
Tell me what youre gonna do
If we ride or die?
(repeats)
. take one step out of time
. were gonna party all night
. by my side
I love you how youre loving me
Were gonna make steps one two three four
You will be on my mind all the time
Ride or die
Is what I adore
If I got you
And you got me
I promise were gonna be the ones
The ones
 no fun
Were gonna run
Run run run
Were gonna run
Run run run
Chorus"
211,I Ain't Mad At Cha,2Pac,2Gangsta 2Die,2019-08-01,295026,5Jqq7TUAUDtt8JRcHAXmFo,34,False,0.0526,0.8390000000000001,0.657,0.000106,5,0.391,-4.959,0,0.222,85.111,4,0.615,"Change, shit
I guess change is good for any of us
Whatever it take for any of y'all niggas to get up out the hood
Shit, I'm wit' ya, I ain't mad at cha
Got nothin' but love for ya, do your thing, boy
Yeah, all the homies that I ain't talk to in a while
I'ma send this one out for y'all
Know what I mean? 'Cause I ain't mad at cha
Heard y'all tearin' up shit out there
Kickin' up dust, givin' a motherfuck
Yeah, niggas, 'cause I ain't mad at cha

Now we was once two niggas of the same kind
Quick to holla at a hoochie with the same line
You was just a little smaller, but you still rolled
Got stretched to Y.A. and hit the hood swoll
'Member when you had a Jheri Curl, didn't quite learn
On the block, wit'cha Glock, trippin' off sherm
Collect calls to the crib, sayin' how you've changed
Oh, you a Muslim now? No more dope game
Heard you might be comin' home, just got bail
Wanna go to the mosque, don't wanna chase tail
It seems I lost my little homie, he's a changed man
Hit the pen and now no sinnin' is the game plan
When I talk about money, all you see is the struggle
When I tell you I'm livin' large, you tell me it's trouble
Congratulations on the weddin', I hope your wife know
She got a playa for life, and that's no bullshittin'
I know we grew apart, you probably don't remember
I used to fiend for your sister, but never went up in her
And I can see us after school, we'd bomb
On the first motherfucker with the wrong shit on
Now the whole shit's changed and we don't even kick it
Got a big money scheme and you ain't even with it
Knew in my heart you was the same motherfucker that
Go toe to toe when it's time to roll, you got a brother's back
And I can't even trip, 'cause I'm just laughin' at cha
You tryin' hard to maintain, then go ahead
'Cause I ain't mad at cha

I ain't mad at cha
I ain't mad at cha
I ain't mad at cha

We used to be like distant cousins, fightin', playin' dozens
Whole neighborhood buzzin', knowin' that we wasn't
Used to catch us on the roof or behind the stairs
I'm gettin' blitzed and I reminisce on all the times we shared
Besides bumpin' and grindin', wasn't nothin' on our mind
In time, we'd learned to live a life of crime
Rewind us back to a time was much too young to know
I caught a felony, lovin' the way the guns blow
And even though we separated, you said that you'd wait
Don't give nobody no coochie while I'll be locked up state
I kiss my mama goodbye and wipe the tears from her lonely eyes
Said I'll return but I gotta fight, the fate's arrived
Don't shed a tear, 'cause Mama, I ain't happy here
I blew trial, no more smiles for a couple years
They got me goin' mad, I'm knockin' busters on they backs
In my cell, thinkin', ""Hell, I know one day I'll be back""
As soon as I touch down
I told my girl I'd be there, so prepare to get fucked down
The homies wanna kick it, but I'm just laughin' at cha
'Cause you's a down-ass bitch and I ain't mad at cha

I ain't mad at cha
I ain't mad at cha
I ain't mad at cha
A true down-ass bitch and I ain't mad at cha

Well, guess who's movin' up? This nigga's ballin' now
Bitches be callin' to get it, hookers keep fallin' down
He went from nothin' to lots, ten carats to rock
Went from a nobody nigga to the big man on the block
He's Mr. Local-Celebrity, addicted to movin' ki's
Most hated by enemies, escape in the luxury
See, first you was our nigga, but you made it so the choice is made
Now we gotta slay you while you faded, in the younger days
So full of pain while the weapons blaze
Gettin' so high off that bomb, hopin' we make it to the better days
'Cause crime pays, and in time, you'll find a rhyme'll blaze
You'll feel the fire from the niggas in my younger days
So many changed on me, so many tried to plot
That I keep a Glock beside my head, when will it stop?
'Til God return me to my essence
'Cause even as an adolescent, I refused to be a convalescent
So many questions and they ask me if I'm still down
I moved up out of the ghetto, so I ain't real now?
They got so much to say, but I'm just laughin' at cha
You niggas just don't know, but I ain't mad at cha

I ain't mad at cha
I ain't mad at cha
I ain't mad at cha
Hell nah, I ain't mad at cha
I ain't mad at cha
And I ain't mad at cha
I ain't mad at cha
I ain't mad at cha
I ain't mad at cha
I ain't mad at cha"
212,Static II,2Pac,2Gangsta 2Die,2019-08-01,241000,7xcFnKcVeNmCbHz1xrj0nW,27,False,0.00944,0.8540000000000001,0.6940000000000001,0.0719,0,0.0767,-4.258,0,0.12300000000000001,104.37899999999999,4,0.7759999999999999,
213,Runnin',2Pac,2Gangsta 2Die,2019-08-01,224026,1nmvYF77YmI5JJQb90k2LL,29,False,0.005220000000000001,0.6970000000000001,0.598,0.0,2,0.172,-9.604,1,0.136,85.86200000000002,4,0.387,"Between you and Biggie it was like, who's going to rule the
Nigga kingdom and shit, basically, know what I'm saying?
I was like, this is like a fucking election
It is that
You know what I am saying
Me and Biggie's situation is smaller than that, it's like…

And I wonder if they'll laugh when I'm dead?
Why am I fighting to live if I'm just living to fight?
(You don't know)
Why am I trying to see when there ain't nothing in sight?
Why am I trying to give when no one gives me a try?
Why am I dying to live if I'm just living to die?

Check it, I grew up a fuckin' screw-up
Got introduced to the game, got a ounce and fuckin' blew up
Choppin' rocks overnight
The nigga Biggie Smalls tryna turn into the black Frank White
We had to grow dreads to change our description
Two cops is on the milk box missin'
Show they toes, you know they got stepped on
A fistful of bullets, a chest full of Teflon
Runnin' from the police, picture that
Nigga, I'm too fat, I fuck around and catch a asthma attack
That's why I bust back, it don't faze me
When he drop, take his Glock and I'm Swayze
Celebrate my escape, sold the Glock, bought some weight
Lay back, I got some money to make, motherfucker

And I wonder if they'll laugh when I'm dead?
Why am I fighting to live if I'm just living to fight?
Why am I trying to see when there ain't nothing in sight?
Why am I trying to give when no one gives me a try?
Why am I dying to live if I'm just living to die?
(It's on me)

But still I'm havin' memories of high speed when the cops crashed
As I laugh, pushin' the gas while my Glocks blast
We was young and we was dumb, but we had heart
In the dark, will we survive through the bad parts?
Many dreams is what I had, and plenty wishes
No hesitation in extermination of these snitches
Envious bitches, they still continue to pursue me
A couple of movies, now the whole world's tryna screw me
Even the cops tried to sue me, so what can I do?
But stay true, sippin' 22's of brew
And now media is tryna test me
Got the press askin' questions, tryna stress me
Misery is all I see, that's my mind state
My history with the police will shake the crime rate
My main man had two strikes, slipped, got arrested, and flipped
He screamed ""Thug Life!"" and emptied the clip
Got tired of runnin' from the police

And I wonder if they'll laugh when I'm dead?
Why am I fighting to live if I'm just living to fight?
Why am I trying to see when there ain't nothing in sight?
Why am I trying to give when no one gives me a try?
Why am I dying to live if I'm just living to die?

They wanted a new regime. And my regime includes East coast, includes West coast

I was more shocked than anything
You know what I'm sayin'?
But I wasn't more shocked of him dying
I was more shocked of him… Pac is a strong dude, yo
I know dude, you know what I'm sayin'? Real strong
So when they was like he got shot, I was just more like, ""Again?"" you know what I'm sayin'?
He always getting shot, or shot at
He going to pull through this one again
Make a few records about it, and it's going to be over
You know what I'm sayin'?
But when he, when he died, I was just like, ""whoa"", you know what I'm saying? Kinda took me by
I mean, even though we was going through our drama
I would never wish death on nobody
You know what I'm sayin'?
Because there ain't no coming back from that"
214,Me & My Homies,2Pac,2Gangsta 2Die,2019-08-01,251000,7x3lN6UkaKwsjrLWBKHc0k,27,False,0.006529999999999999,0.77,0.613,0.000283,1,0.276,-5.124,0,0.0585,88.39399999999998,4,0.897,"Me and my homies loc
You know we kick it like every day
Me and my homies, kick it like every day

But I'm alone in my room
And I don't have no one to talk to
I catch a girl with my phone
And 'cause some folks who know what I go through
After I smoke a joint, come on
To keep my temper low, I parlay with my friends
There's really nowhere else to go

Me and my homies loc
You know we kick it like every day
Me and my homies, kick it like every day

I ain't shit without my homeboys
Rather be buried, then see us parted
Keep it close to my heart
'Cause we the ones that got the shit started
You recollect we used to bust on snitches
Nobody come before my niggas, fuck all y'all bitches
All my homeboys are self-sufficient
So we suspicious of your scandalous tricks
Got the police takin' our pictures
Love to hang out on the corner but we known to ride
Me and my muthafuckin homeboys down to die
For each other, 'cause we closer than brothers
It's like we kin we're known for getting the party poppin'
When my squad walks in
Throw up your hands baby buy me a drink, stop actin' phony
Don't forget to bring something for all my homies
To know me is to love a thug nigga to the fullest, duckin' bullets
Snatchin' guns when the trick niggas pull it
Handle my business like a professional, the whole world know me
But I ain't shit without my fuckin' homies
Me and my fuckin' homies

Me and my homies loc
You know we kick it like every day
Me and my homies, kick it like every day

Me and my homies
Constantly we mash
Me and my homies
Gotta make that cash
Me and my homies
There's no need to ask
Me and my homies
We are still the best

That's my homie
That's my homie, DPGC only
All my homie
That's my homie, DPGC only
That's my homie
That's my homie, DPGC only
All my homie
That's my homie, DPGC only
That's my homie
That's my homie, DPGC only
All my homie
That's my homie, DPGC only
That's my homie
That's my homie, DPGC only
All my homie
That's my homie, DPGC only

Me and my homies loc
You know we kick it like every day
Me and my homies, kick it like every day
Me and my homies loc
You know we kick it like every day"
